M,N,K,kernel,reference_kernel,kind,row,col,reference_value,candidate_value,reference_bits,candidate_bits,ulp_distance,absolute_error,relative_error,tolerance,tolerance_pass
4,4,4,"cuda-naive-reordered","cuda-naive-fma",first_bitwise,0,0,1,2,"00111111100000000000000000000000","01000000000000000000000000000000",8388608,1,1,1.9999999494757503e-05,false
4,4,4,"cuda-naive-reordered","cuda-naive-fma",sample,0,1,1,2,"00111111100000000000000000000000","01000000000000000000000000000000",8388608,1,1,1.9999999494757503e-05,false
4,4,4,"cuda-naive-reordered","cuda-naive-fma",sample,0,2,1,2,"00111111100000000000000000000000","01000000000000000000000000000000",8388608,1,1,1.9999999494757503e-05,false
4,4,4,"cuda-naive-reordered","cuda-naive-fma",sample,0,3,1,2,"00111111100000000000000000000000","01000000000000000000000000000000",8388608,1,1,1.9999999494757503e-05,false
4,4,4,"cuda-naive-reordered","cuda-naive-fma",sample,1,0,1,2,"00111111100000000000000000000000","01000000000000000000000000000000",8388608,1,1,1.9999999494757503e-05,false
256,256,256,"cuda-naive-reordered","cuda-naive-fma",first_bitwise,0,0,1,128,"00111111100000000000000000000000","01000011000000000000000000000000",58720256,127,127,0.0012799999676644802,false
256,256,256,"cuda-naive-reordered","cuda-naive-fma",sample,0,1,1,128,"00111111100000000000000000000000","01000011000000000000000000000000",58720256,127,127,0.0012799999676644802,false
256,256,256,"cuda-naive-reordered","cuda-naive-fma",sample,0,2,1,128,"00111111100000000000000000000000","01000011000000000000000000000000",58720256,127,127,0.0012799999676644802,false
256,256,256,"cuda-naive-reordered","cuda-naive-fma",sample,0,3,1,128,"00111111100000000000000000000000","01000011000000000000000000000000",58720256,127,127,0.0012799999676644802,false
256,256,256,"cuda-naive-reordered","cuda-naive-fma",sample,0,4,1,128,"00111111100000000000000000000000","01000011000000000000000000000000",58720256,127,127,0.0012799999676644802,false
257,257,257,"cuda-naive-reordered","cuda-naive-fma",first_bitwise,0,0,16777216,16777344,"01001011100000000000000000000000","01001011100000000000000001000000",64,128,7.62939453125e-06,167.7734375,true
257,257,257,"cuda-naive-reordered","cuda-naive-fma",sample,0,1,16777216,16777344,"01001011100000000000000000000000","01001011100000000000000001000000",64,128,7.62939453125e-06,167.7734375,true
257,257,257,"cuda-naive-reordered","cuda-naive-fma",sample,0,2,16777216,16777344,"01001011100000000000000000000000","01001011100000000000000001000000",64,128,7.62939453125e-06,167.7734375,true
257,257,257,"cuda-naive-reordered","cuda-naive-fma",sample,0,3,16777216,16777344,"01001011100000000000000000000000","01001011100000000000000001000000",64,128,7.62939453125e-06,167.7734375,true
257,257,257,"cuda-naive-reordered","cuda-naive-fma",sample,0,4,16777216,16777344,"01001011100000000000000000000000","01001011100000000000000001000000",64,128,7.62939453125e-06,167.7734375,true
1024,1024,1024,"cuda-naive-reordered","cuda-naive-fma",first_bitwise,0,0,1,512,"00111111100000000000000000000000","01000100000000000000000000000000",75497472,511,511,0.0051199998706579208,false
1024,1024,1024,"cuda-naive-reordered","cuda-naive-fma",sample,0,1,1,512,"00111111100000000000000000000000","01000100000000000000000000000000",75497472,511,511,0.0051199998706579208,false
1024,1024,1024,"cuda-naive-reordered","cuda-naive-fma",sample,0,2,1,512,"00111111100000000000000000000000","01000100000000000000000000000000",75497472,511,511,0.0051199998706579208,false
1024,1024,1024,"cuda-naive-reordered","cuda-naive-fma",sample,0,3,1,512,"00111111100000000000000000000000","01000100000000000000000000000000",75497472,511,511,0.0051199998706579208,false
1024,1024,1024,"cuda-naive-reordered","cuda-naive-fma",sample,0,4,1,512,"00111111100000000000000000000000","01000100000000000000000000000000",75497472,511,511,0.0051199998706579208,false
