M,N,K,kernel,reference_kernel,kind,row,col,reference_value,candidate_value,reference_bits,candidate_bits,ulp_distance,absolute_error,relative_error,tolerance,tolerance_pass
4,4,4,"cuda-naive-no-fma","cuda-naive-fma",first_bitwise,0,0,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
4,4,4,"cuda-naive-no-fma","cuda-naive-fma",sample,0,1,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
4,4,4,"cuda-naive-no-fma","cuda-naive-fma",sample,0,2,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
4,4,4,"cuda-naive-no-fma","cuda-naive-fma",sample,0,3,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
4,4,4,"cuda-naive-no-fma","cuda-naive-fma",sample,1,0,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
256,256,256,"cuda-naive-no-fma","cuda-naive-fma",first_bitwise,0,0,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
256,256,256,"cuda-naive-no-fma","cuda-naive-fma",sample,0,1,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
256,256,256,"cuda-naive-no-fma","cuda-naive-fma",sample,0,2,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
256,256,256,"cuda-naive-no-fma","cuda-naive-fma",sample,0,3,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
256,256,256,"cuda-naive-no-fma","cuda-naive-fma",sample,0,4,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
257,257,257,"cuda-naive-no-fma","cuda-naive-fma",first_bitwise,0,0,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
257,257,257,"cuda-naive-no-fma","cuda-naive-fma",sample,0,1,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
257,257,257,"cuda-naive-no-fma","cuda-naive-fma",sample,0,2,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
257,257,257,"cuda-naive-no-fma","cuda-naive-fma",sample,0,3,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
257,257,257,"cuda-naive-no-fma","cuda-naive-fma",sample,0,4,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
1024,1024,1024,"cuda-naive-no-fma","cuda-naive-fma",first_bitwise,0,0,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
1024,1024,1024,"cuda-naive-no-fma","cuda-naive-fma",sample,0,1,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
1024,1024,1024,"cuda-naive-no-fma","cuda-naive-fma",sample,0,2,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
1024,1024,1024,"cuda-naive-no-fma","cuda-naive-fma",sample,0,3,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
1024,1024,1024,"cuda-naive-no-fma","cuda-naive-fma",sample,0,4,-1.4210854715202004e-14,0,"10101000100000000000000000000000","00000000000000000000000000000000",679477249,1.4210854715202004e-14,1,9.9999999747524271e-07,true
